"ERL6305","Ordonnancement et Conduite","OC","Vincent TKINDT"
"FR2819","ATLANSTIC","ATLANSTIC","Claude JARD"
"FR3381","Pôle Grenoble Cognition","GPC","Jean-Luc SCHWARTZ"
"FR3424","Structure Fédérative de Recherche en Mathématiques et en Informatique de Toulouse","FREMIT","Jean-Marc COUVEIGNES"
"FR3513","Fédération de Recherche en Informatique et Interactions d'Aix-Marseille","FRIIAM","Jean-Claude HENNET"
"GDR3002","Recherche opérationnelle","RO","Philippe CHRETIENNE"
"GDR3003","Bioinformatique moléculaire","BIM","Eric RIVALS"
"GDR3168","GPL - Génie de la Programmation et du Logiciel","GPL","Laurence DUCHIEN"
"GDR673","Informatique Mathématique","IM","Brigitte VALLEE"
"GDR722","Information-intéraction-intelligence","I3","Florence SEDES"
"GDR725","Architecture Systèmes Réseaux","ASR","Marc DAUMAS"
"GDR2340","Méthodes et Applications pour la Géomatique et l'Information Spatiale","MAGIS","Thierry JOLIVEAU" 
"UMI3527","Japanese-French Laboratory for Informatics","JFLI","Philippe CODOGNET"
"UMR5104","VERIMAG","VERIMAG","Nicolas HALBWACHS"
"UMR5157","Services répartis, Architecture Modélisation Validation Administration de Réseaux","SAMOVAR","Jean-Pierre DELMAS"
"UMR5205","Laboratoire d'Informatique en Images et Systèmes d'Information","LIRIS","Atilla BASKURT"
"UMR5217","Laboratoire d'Informatique de Grenoble","LIG","Hervé MARTIN"
"UMR5272","LABORATOIRE G-SCOP","G-SCOP","Yannick FREIN"
"UMR5505","Institut de recherche en informatique de Toulouse","IRIT","Michel DAYDE"
"UMR5506","Laboratoire d'informatique, de robotique et de microélectronique de Montpellier","LIRMM","Jean-Claude KONIG"
"UMR5668","Laboratoire d'informatique du parallélisme","LIP","Gilles VILLARD"
"UMR5800","Laboratoire Bordelais de Recherche en Informatique","LaBRI","Pascal WEIL"
"UMR6074","Institut de recherche en informatique et systèmes aléatoires","IRISA","Jean-Marc JEZEQUEL"
"UMR6158","Laboratoire d'Informatique, de Modélisation et d'optimisation des Systèmes","LIMOS","Alain QUILLIOT"
"UMR6241","Laboratoire d'Informatique de Nantes Atlantique","LINA","Pierre COINTE"
"UMR7030","Laboratoire d'informatique de Paris-nord","LIPN","Laure PETRUCCI"
"UMR7089","Laboratoire d'Informatique Algorithmique: Fondements et Applications","LIAFA","Pierre FRAIGNIAUD"
"UMR7126","Preuves, Programmes et Systèmes","PPS","Thomas EHRHARD"
"UMR7161","Laboratoire d'informatique de l'Ecole Polytechnique","LIX","Olivier BOURNEZ"
"UMR7243","Laboratoire d'analyse et modélisation de systèmes pour l'aide à la décision","LAMSADE","Alexis TSOUKIAS"
"UMR7271","Laboratoire informatique, signaux systèmes de Sophia Antipolis","I3S","Michel RIVEILL"
"UMR7279","Laboratoire d'informatique Fondamentale de Marseille","LIF","Jean-Marc TALBOT"
"UMR7503","Laboratoire lorrain de recherche en informatique et ses applications","LORIA","Françoise SIMONOT-LION"
"UMR7606","Laboratoire d'informatique de Paris 6","LIP6","Patrick GALLINARI"
"UMR8022","Laboratoire d'informatique fondamentale de Lille","LIFL","Sophie TISON"
"UMR8049","Laboratoire d'Informatique Gaspard Monge","LIGM","Marie-Pierre BEAL"
"UMR8144","Parallélisme, réseaux, systèmes, modélisation","PRISM","Samir TOHME"
"UMR8188","Centre de Recherche en Informatique de Lens","CRIL","Cyril GREGOIRE"
"UMR8548","Laboratoire d'informatique de l'école normale supérieure","LIENS","Jean PONCE"
"UMR8623","Laboratoire de Recherche en Informatique","LRI","Philippe DAGUE"
"UMR8643","Laboratoire Spécification et Vérification","LSV","Laurent FRIBOURG"
"UMS3042","Moyens Informatiques Multimedia, Information Scientifique","MI2S","Brigitte BIDEGARAY-FESQUET"
"USR3441","Maison de la Simulation","MdS","Edouard AUDIT"
"UPR 3251","Laboratoire d'Informatique pour la Mécanique et les Sciences de l'Ingénieur", "LIMSI", "Patrick LE QUERE"
